"PMAID","LocID","ZIP.Code","address","icon"
281,2545,98119,"1200 W Howe St Seattle 98119","ylw_circle"
4159,2387,98144,"2821 12TH Ave S Seattle 98144","orange_diamond"
4467,2382,98122,"564 12th Ave Seattle 98122","orange_diamond"
4010,2546,98107,"4400 14th Ave NW Seattle 98107","ylw_circle"
296,296,98112,"3001 E Madison St Seattle 98112","grn_stars"
1000001,0,98199,"32nd Ave W Seattle 98199","donut"
3158,2378,98117,"606  NW 76th St Seattle 98117","orange_diamond"
4404,2533,98103,"723 N 35th St Seattle 98103","ylw_circle"
1000002,0,98118,"Lake Washington Blvd S & S Adams St Seattle 98118","donut"
244,1886,98125,"12526 27th Ave NE Seattle 98125","orange_diamond"
445,1888,98116,"1702 Alki Ave SW Seattle 98116","orange_diamond"
446,1049,98116,"5817 SW Lander St Seattle 98116","ltblu_square"
3914,1891,98122,"1504 34TH Ave Seattle 98122","orange_diamond"
426,1892,98144,"2000 Martin Luther King Jr Way S Seattle 98144","orange_diamond"
2927,1894,98116,"4000 Beach Dr SW Seattle 98116","orange_diamond"
1556,1898,98199,"3431 Arapahoe Pl W Seattle 98199","orange_diamond"
485,1907,98146,"4120 Arroyo Dr SW Seattle 98146","orange_diamond"
4081,1908,98118,"8702 Seward Park Ave S Seattle 98118","orange_diamond"
4243,2541,98144,"1501 21st Ave S Seattle 98144","ylw_circle"
241,2552,98103,"4020 Fremont Ave N Seattle 98103","ylw_circle"
4006,1910,98102,"2548 Delmar Dr E Seattle 98102","orange_diamond"
2840,1911,98117,"8347 14th Ave NW Seattle 98117","orange_diamond"
4278,1913,98107,"5701 22nd Ave NW Seattle 98107","orange_diamond"
4428,1914,98107,"1702 nw 62nd St Seattle 98107","orange_diamond"
497,1108,98107,"2644 NW 60th St Seattle 98107","ltblu_square"
4073,2553,98115,"7802 Banner Way NE Seattle 98115","ylw_circle"
3703,1919,98116,"6425 SW Admiral Way Seattle 98116","orange_diamond"
303,1110,98199,"2614 24th Ave W Seattle 98199","ltblu_square"
1000342,0,98119,"3rd Ave W & W Prospect St Seattle 98119","donut"
400,1074,98144,"1902 13th Ave S Seattle 98144","ltblu_square"
3119,1923,98104,"1110 S Dearborn St Seattle 98104","orange_diamond"
4481,1075,98125,"5th Ave NE & NE 103rd St Seattle 98125","ltblu_square"
4028,0,98105,"5809 15th Ave NE Seattle 98105","donut"
440,1925,98118,"8650 55th Ave S Seattle 98118","orange_diamond"
4472,2543,98121,"1st to 5th Ave on Bell St Seattle 98121","ylw_circle"
4022,1182,98102,"Bellevue Ave E & Bellevue Pl E Seattle 98102","ltblu_square"
4415,1186,98121,"2512 Elliott Ave Seattle 98121","ltblu_square"
346,1290,98102,"703 Belmont Pl E Seattle 98102","ltblu_square"
447,1188,98126,"3600 SW Admiral Way Seattle 98126","ltblu_square"
475,1189,98105,"3659 42nd Ave NE Seattle 98105","ltblu_square"
436,1077,98118,"9320 38th Ave S Seattle 98118","ltblu_square"
4245,1190,98122,"1401 23rd Ave S Seattle 98122","ltblu_square"
253,1191,98107,"5420 22nd Ave NW Seattle 98107","ltblu_square"
304,1193,98109,"1215 5th Ave N Seattle 98109","ltblu_square"
288,1113,98133,"13035 Linden Ave N Seattle 98133","ltblu_square"
4450,1194,98133,"14201 Linden Ave N Seattle 98133","ltblu_square"
3907,1196,98119,"513 W Olympic Pl Seattle 98119","ltblu_square"
4418,1198,98144,"1520 26th Ave S Seattle 98144","ltblu_square"
238,1199,98117,"1851 NW Blue Ridge Dr Seattle 98117","ltblu_square"
239,1200,98117,"Radford Ave NW & NW Milford Way Seattle 98117","ltblu_square"
